person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
23.0,female,Master,91042.0,1,RENT,10000.0,VENTURE,6.03,0.11,3.0,546,Yes,0
25.0,male,High School,19186.0,1,RENT,2102.0,EDUCATION,13.04,0.11,4.0,637,Yes,0
23.0,female,High School,40930.0,0,RENT,10000.0,MEDICAL,9.39,0.24,3.0,577,Yes,0
30.0,male,Bachelor,121157.0,10,MORTGAGE,24000.0,PERSONAL,11.57,0.2,10.0,612,Yes,0
27.0,female,Associate,35752.0,6,RENT,7085.0,DEBTCONSOLIDATION,7.07,0.2,8.0,674,No,0
33.0,male,Associate,42703.0,9,MORTGAGE,12000.0,PERSONAL,10.35,0.28,10.0,607,No,0
32.0,female,High School,53742.0,7,RENT,8000.0,MEDICAL,10.32,0.15,10.0,648,Yes,0
25.0,male,Bachelor,28530.0,4,RENT,1784.0,PERSONAL,7.53,0.06,4.0,686,No,0
24.0,male,High School,46657.0,2,RENT,8000.0,MEDICAL,11.02,0.17,3.0,635,Yes,0
25.0,female,High School,78904.0,2,RENT,9000.0,EDUCATION,10.4,0.11,4.0,439,Yes,0
27.0,female,Bachelor,71852.0,6,MORTGAGE,13000.0,EDUCATION,7.82,0.18,6.0,498,Yes,0
26.0,female,High School,70284.0,5,RENT,7000.0,PERSONAL,7.79,0.1,4.0,636,No,0
42.0,female,High School,50027.0,20,MORTGAGE,10000.0,MEDICAL,12.06,0.2,15.0,493,Yes,0
24.0,male,Associate,31171.0,0,RENT,4000.0,VENTURE,9.45,0.13,3.0,659,Yes,0
28.0,female,Bachelor,64594.0,8,MORTGAGE,7000.0,PERSONAL,9.88,0.11,8.0,688,No,0
24.0,male,Bachelor,54612.0,3,RENT,6000.0,EDUCATION,11.45,0.11,3.0,493,Yes,0
30.0,male,Associate,33592.0,9,RENT,6000.0,EDUCATION,12.42,0.18,5.0,723,No,0
24.0,female,Master,60815.0,5,RENT,5000.0,DEBTCONSOLIDATION,6.73,0.08,3.0,602,Yes,0
23.0,female,Bachelor,40852.0,2,RENT,5000.0,EDUCATION,9.32,0.12,4.0,524,Yes,0
36.0,female,Associate,41120.0,13,RENT,4800.0,MEDICAL,8.11,0.12,10.0,610,Yes,0
26.0,male,High School,45284.0,2,RENT,6842.0,PERSONAL,7.73,0.15,2.0,681,Yes,0
22.0,female,High School,33811.0,0,RENT,5000.0,EDUCATION,10.43,0.15,3.0,508,Yes,0
25.0,male,Master,96796.0,4,MORTGAGE,6000.0,VENTURE,7.87,0.06,4.0,676,Yes,0
24.0,male,Bachelor,10775.0,2,RENT,922.0,MEDICAL,10.11,0.09,4.0,629,Yes,0
27.0,female,High School,58697.0,6,MORTGAGE,4500.0,VENTURE,11.42,0.08,7.0,582,Yes,0
26.0,female,High School,49646.0,1,RENT,5572.0,PERSONAL,11.5,0.11,7.0,708,Yes,0
31.0,male,Doctorate,73279.0,11,RENT,6000.0,HOMEIMPROVEMENT,10.16,0.08,9.0,586,Yes,0
23.0,female,Bachelor,101569.0,3,RENT,15000.0,DEBTCONSOLIDATION,11.22,0.15,4.0,683,Yes,0
24.0,male,Associate,60928.0,0,MORTGAGE,6000.0,PERSONAL,10.63,0.1,3.0,618,Yes,0
25.0,female,Bachelor,85956.0,3,RENT,9664.0,VENTURE,8.43,0.11,5.0,613,Yes,0
23.0,male,Associate,90249.0,2,RENT,12000.0,VENTURE,11.58,0.13,3.0,534,Yes,0
32.0,male,Bachelor,126151.0,11,MORTGAGE,17241.0,EDUCATION,13.9,0.14,7.0,591,Yes,0
27.0,male,High School,112674.0,6,RENT,8143.0,HOMEIMPROVEMENT,11.79,0.07,6.0,612,No,0
24.0,female,Bachelor,55111.0,2,RENT,12000.0,EDUCATION,11.07,0.22,3.0,581,Yes,0
33.0,female,Associate,66765.0,14,RENT,10000.0,MEDICAL,9.46,0.15,6.0,675,Yes,0
27.0,female,High School,78891.0,5,MORTGAGE,5000.0,DEBTCONSOLIDATION,5.53,0.06,5.0,696,Yes,0
26.0,male,Bachelor,96688.0,3,MORTGAGE,8000.0,MEDICAL,12.68,0.08,4.0,628,No,0
27.0,male,Bachelor,87230.0,6,RENT,10000.0,MEDICAL,10.95,0.11,9.0,679,Yes,0
24.0,male,High School,51451.0,2,OWN,8000.0,VENTURE,6.62,0.16,4.0,549,Yes,0
48.0,male,High School,144889.0,24,MORTGAGE,3600.0,VENTURE,11.01,0.02,17.0,606,No,0
24.0,male,Associate,85197.0,0,RENT,13000.0,PERSONAL,5.56,0.15,4.0,655,Yes,0
24.0,male,High School,60097.0,0,MORTGAGE,4000.0,VENTURE,13.85,0.07,4.0,657,Yes,0
28.0,female,Bachelor,84603.0,6,RENT,2500.0,DEBTCONSOLIDATION,11.93,0.03,5.0,646,Yes,0
31.0,male,High School,151235.0,7,RENT,3482.0,MEDICAL,13.49,0.02,9.0,582,Yes,0
24.0,male,Associate,74912.0,2,MORTGAGE,2000.0,EDUCATION,13.49,0.03,3.0,571,No,0
28.0,male,Associate,139289.0,6,MORTGAGE,5000.0,HOMEIMPROVEMENT,8.25,0.04,7.0,557,Yes,0
33.0,female,High School,100009.0,11,MORTGAGE,11000.0,DEBTCONSOLIDATION,9.38,0.11,11.0,665,Yes,0
26.0,male,Associate,61131.0,7,RENT,13000.0,HOMEIMPROVEMENT,11.31,0.21,4.0,638,Yes,0
32.0,male,Master,108988.0,8,RENT,20000.0,HOMEIMPROVEMENT,12.95,0.18,10.0,674,Yes,0
34.0,male,Bachelor,49434.0,10,MORTGAGE,10000.0,MEDICAL,6.56,0.2,14.0,698,Yes,0
29.0,female,Associate,52629.0,8,RENT,8000.0,MEDICAL,14.45,0.15,6.0,682,Yes,0
29.0,female,High School,48615.0,7,RENT,7000.0,PERSONAL,8.66,0.14,10.0,576,Yes,0
30.0,male,Associate,229595.0,8,MORTGAGE,4172.0,PERSONAL,6.76,0.02,6.0,599,No,0
24.0,male,Bachelor,84912.0,3,MORTGAGE,10018.0,MEDICAL,14.77,0.12,3.0,668,Yes,0
28.0,female,Bachelor,116319.0,3,MORTGAGE,5000.0,VENTURE,11.23,0.04,7.0,571,Yes,0
24.0,female,High School,31250.0,1,RENT,4000.0,VENTURE,9.45,0.13,3.0,552,No,0
41.0,male,Associate,49022.0,18,RENT,9157.0,EDUCATION,7.49,0.19,14.0,647,Yes,0
27.0,male,High School,73692.0,1,MORTGAGE,3000.0,HOMEIMPROVEMENT,12.25,0.04,5.0,586,Yes,0
22.0,female,Associate,43700.0,0,RENT,4000.0,DEBTCONSOLIDATION,5.42,0.09,3.0,634,Yes,0
25.0,female,High School,58205.0,5,MORTGAGE,20000.0,HOMEIMPROVEMENT,11.52,0.34,6.0,652,Yes,0
23.0,male,Associate,79081.0,2,RENT,16000.0,MEDICAL,13.67,0.2,4.0,627,Yes,0
31.0,female,High School,57185.0,8,RENT,14000.0,EDUCATION,12.94,0.24,5.0,657,Yes,0
25.0,male,Associate,59935.0,1,RENT,10868.0,EDUCATION,9.48,0.18,2.0,580,Yes,0
37.0,male,High School,193194.0,13,MORTGAGE,14151.0,VENTURE,7.3,0.07,15.0,596,Yes,0
25.0,male,High School,60864.0,0,RENT,6000.0,VENTURE,13.2,0.1,3.0,598,No,0
29.0,female,Associate,75482.0,4,MORTGAGE,20000.0,MEDICAL,10.91,0.26,9.0,599,No,0
30.0,male,Bachelor,50101.0,7,RENT,5000.0,MEDICAL,12.33,0.1,10.0,641,Yes,0
29.0,male,Master,54268.0,6,MORTGAGE,6000.0,VENTURE,12.23,0.11,8.0,639,No,0
25.0,female,High School,27018.0,4,MORTGAGE,7813.0,EDUCATION,11.28,0.29,5.0,557,Yes,0
46.0,male,Bachelor,18822.0,22,RENT,2000.0,VENTURE,12.28,0.11,13.0,600,Yes,0
29.0,male,Bachelor,78740.0,5,MORTGAGE,20000.0,HOMEIMPROVEMENT,11.83,0.25,8.0,704,Yes,0
25.0,male,Associate,48695.0,5,RENT,1438.0,VENTURE,9.4,0.03,4.0,606,Yes,0
29.0,male,Associate,127720.0,0,RENT,8000.0,PERSONAL,7.49,0.06,7.0,653,Yes,0
42.0,male,High School,205043.0,17,MORTGAGE,7315.0,VENTURE,12.23,0.04,12.0,655,Yes,0
30.0,male,Bachelor,57479.0,8,MORTGAGE,10000.0,VENTURE,12.03,0.17,6.0,674,Yes,0
25.0,male,Bachelor,84656.0,3,MORTGAGE,7043.0,MEDICAL,10.63,0.08,3.0,682,Yes,0
28.0,female,High School,181353.0,2,MORTGAGE,12678.0,MEDICAL,11.42,0.07,6.0,634,No,0
27.0,female,Bachelor,32847.0,4,RENT,5232.0,EDUCATION,8.18,0.16,4.0,652,No,0
22.0,female,Bachelor,39626.0,0,RENT,5000.0,DEBTCONSOLIDATION,7.68,0.13,4.0,676,No,0
23.0,female,High School,29978.0,1,RENT,5000.0,PERSONAL,8.31,0.17,3.0,663,Yes,0
27.0,male,Bachelor,60318.0,4,MORTGAGE,7000.0,VENTURE,8.72,0.12,4.0,528,Yes,0
30.0,male,Bachelor,301207.0,9,RENT,20000.0,EDUCATION,13.09,0.07,10.0,638,Yes,0
24.0,male,High School,160339.0,1,MORTGAGE,17400.0,VENTURE,11.71,0.11,4.0,581,Yes,0
48.0,male,Associate,97058.0,25,RENT,18000.0,HOMEIMPROVEMENT,17.76,0.19,18.0,649,No,0
30.0,female,Associate,176038.0,8,MORTGAGE,2500.0,MEDICAL,13.5,0.01,9.0,652,Yes,0
29.0,female,Associate,75800.0,5,RENT,6000.0,HOMEIMPROVEMENT,10.8,0.08,5.0,558,Yes,0
24.0,male,Associate,67990.0,1,MORTGAGE,2107.0,DEBTCONSOLIDATION,10.8,0.03,3.0,647,Yes,0
23.0,female,Associate,90994.0,0,RENT,8000.0,DEBTCONSOLIDATION,10.22,0.09,3.0,604,Yes,0
25.0,female,High School,136771.0,5,MORTGAGE,25000.0,EDUCATION,11.12,0.18,3.0,666,Yes,0
55.0,male,High School,84971.0,30,RENT,2500.0,DEBTCONSOLIDATION,6.26,0.03,23.0,716,Yes,0
36.0,male,High School,91289.0,13,MORTGAGE,8000.0,PERSONAL,5.65,0.09,12.0,617,No,0
25.0,female,Associate,120980.0,4,MORTGAGE,14000.0,VENTURE,9.4,0.12,3.0,648,Yes,0
22.0,female,High School,95675.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,8.71,0.1,2.0,675,Yes,0
29.0,male,Master,138648.0,4,MORTGAGE,4000.0,PERSONAL,10.17,0.03,6.0,702,Yes,0
33.0,male,Bachelor,97466.0,12,MORTGAGE,24000.0,DEBTCONSOLIDATION,14.29,0.25,7.0,729,No,0
32.0,male,High School,58454.0,13,RENT,5000.0,DEBTCONSOLIDATION,9.71,0.09,9.0,691,Yes,0
26.0,male,Bachelor,49122.0,0,RENT,7200.0,EDUCATION,8.46,0.15,3.0,491,Yes,0
28.0,male,High School,95643.0,7,RENT,11842.0,HOMEIMPROVEMENT,12.79,0.12,5.0,620,No,0
34.0,male,High School,361181.0,10,MORTGAGE,24360.0,MEDICAL,12.37,0.07,12.0,610,Yes,0
28.0,male,Master,71988.0,3,MORTGAGE,23923.0,EDUCATION,11.28,0.33,8.0,659,No,0
29.0,female,Bachelor,118074.0,6,MORTGAGE,6500.0,HOMEIMPROVEMENT,11.95,0.06,9.0,627,Yes,0
26.0,female,Bachelor,104202.0,5,MORTGAGE,10000.0,EDUCATION,11.22,0.1,3.0,620,No,0
26.0,female,Bachelor,162974.0,4,MORTGAGE,10000.0,VENTURE,17.26,0.06,5.0,589,Yes,0
44.0,female,Associate,45393.0,21,RENT,3500.0,EDUCATION,12.87,0.08,13.0,666,Yes,0
28.0,female,Bachelor,61096.0,4,MORTGAGE,4000.0,DEBTCONSOLIDATION,12.56,0.07,7.0,631,No,0
23.0,male,High School,38687.0,1,RENT,4184.0,DEBTCONSOLIDATION,13.47,0.11,3.0,602,Yes,0
23.0,male,Associate,32278.0,1,RENT,3888.0,EDUCATION,8.19,0.12,3.0,659,Yes,0
30.0,male,Master,72629.0,7,RENT,6000.0,DEBTCONSOLIDATION,9.35,0.08,9.0,605,No,0
24.0,male,Bachelor,93790.0,0,RENT,6822.0,VENTURE,10.75,0.07,4.0,608,Yes,0
23.0,male,Associate,35881.0,0,RENT,6202.0,VENTURE,15.18,0.17,5.0,565,No,0
24.0,female,Associate,73809.0,3,RENT,15000.0,DEBTCONSOLIDATION,10.86,0.2,3.0,564,Yes,0
26.0,male,High School,49016.0,2,RENT,6000.0,MEDICAL,10.83,0.12,3.0,573,Yes,0
27.0,male,Associate,26930.0,5,RENT,4787.0,MEDICAL,13.95,0.18,7.0,603,No,0
24.0,female,Bachelor,38938.0,1,RENT,1237.0,VENTURE,9.15,0.03,2.0,632,Yes,0
28.0,female,Associate,81398.0,2,RENT,12000.0,EDUCATION,11.5,0.15,7.0,640,No,0
29.0,male,High School,63254.0,5,RENT,10636.0,DEBTCONSOLIDATION,9.74,0.17,4.0,520,Yes,0
43.0,female,Associate,73011.0,15,MORTGAGE,4800.0,MEDICAL,11.88,0.07,15.0,635,Yes,0
27.0,male,Associate,180806.0,3,MORTGAGE,14244.0,DEBTCONSOLIDATION,7.68,0.08,6.0,667,Yes,0
24.0,male,High School,91148.0,3,RENT,8000.0,MEDICAL,8.11,0.09,3.0,648,No,0
28.0,female,Associate,90949.0,6,MORTGAGE,6000.0,VENTURE,12.11,0.07,8.0,526,Yes,0
36.0,female,Bachelor,52999.0,14,MORTGAGE,11013.0,DEBTCONSOLIDATION,10.9,0.21,12.0,720,Yes,0
37.0,female,High School,47855.0,9,RENT,10000.0,VENTURE,9.96,0.21,6.0,637,Yes,0
25.0,male,Master,83387.0,0,MORTGAGE,6000.0,MEDICAL,9.29,0.07,3.0,580,Yes,0
23.0,male,Associate,120680.0,0,MORTGAGE,8000.0,MEDICAL,7.37,0.07,4.0,573,Yes,0
24.0,male,High School,97273.0,0,MORTGAGE,24000.0,DEBTCONSOLIDATION,16.22,0.25,3.0,662,No,0
32.0,female,Bachelor,62610.0,7,RENT,11000.0,VENTURE,7.18,0.18,5.0,652,Yes,0
22.0,female,High School,35935.0,1,RENT,5000.0,EDUCATION,7.5,0.14,4.0,649,No,0
27.0,female,Bachelor,77804.0,2,MORTGAGE,7503.0,MEDICAL,9.92,0.1,5.0,610,No,0
28.0,male,Bachelor,168867.0,3,MORTGAGE,24250.0,VENTURE,11.91,0.14,6.0,659,No,0
27.0,male,Master,275306.0,7,MORTGAGE,5052.0,EDUCATION,7.8,0.02,7.0,629,Yes,0
37.0,male,Bachelor,29696.0,18,RENT,3000.0,MEDICAL,7.65,0.1,11.0,709,No,0
42.0,male,Master,180922.0,19,MORTGAGE,15000.0,PERSONAL,14.12,0.08,17.0,713,Yes,0
24.0,female,Associate,70517.0,0,MORTGAGE,4500.0,EDUCATION,10.69,0.06,5.0,573,No,0
32.0,female,Master,45231.0,12,MORTGAGE,13000.0,DEBTCONSOLIDATION,10.12,0.29,7.0,549,Yes,0
25.0,male,Associate,44164.0,3,RENT,3509.0,MEDICAL,9.18,0.08,3.0,573,No,0
24.0,male,High School,145167.0,5,MORTGAGE,14000.0,EDUCATION,10.0,0.1,4.0,671,Yes,0
31.0,male,High School,85189.0,6,RENT,12500.0,VENTURE,8.77,0.15,8.0,589,No,0
24.0,female,High School,96912.0,0,MORTGAGE,5000.0,PERSONAL,5.72,0.05,3.0,608,Yes,0
25.0,female,High School,91204.0,0,RENT,7000.0,HOMEIMPROVEMENT,10.43,0.08,4.0,594,Yes,0
27.0,male,Master,251992.0,3,OWN,15199.0,PERSONAL,14.0,0.06,8.0,597,Yes,0
23.0,male,Master,35758.0,1,OWN,6000.0,VENTURE,8.45,0.17,3.0,566,Yes,0
25.0,male,Associate,32538.0,2,RENT,5342.0,MEDICAL,9.57,0.16,3.0,664,Yes,0
35.0,female,Associate,114943.0,10,MORTGAGE,10000.0,VENTURE,9.3,0.09,9.0,647,No,0
25.0,male,Associate,95822.0,2,RENT,20331.0,PERSONAL,7.24,0.21,3.0,631,No,0
33.0,male,Bachelor,62075.0,12,RENT,1934.0,PERSONAL,9.83,0.03,12.0,624,Yes,0
37.0,female,High School,87550.0,17,MORTGAGE,1600.0,DEBTCONSOLIDATION,13.92,0.02,14.0,688,Yes,0
29.0,female,Master,24885.0,6,RENT,2500.0,EDUCATION,14.09,0.1,8.0,679,Yes,0
24.0,female,Bachelor,75253.0,1,MORTGAGE,10000.0,PERSONAL,13.35,0.13,4.0,628,Yes,0
32.0,male,Bachelor,100166.0,11,MORTGAGE,18000.0,VENTURE,8.24,0.18,7.0,633,Yes,0
28.0,male,Bachelor,86187.0,6,MORTGAGE,9655.0,EDUCATION,7.5,0.11,5.0,648,Yes,0
